crime_id,date,district,crime_type,latitude,longitude,location,suspect_id,victim_id,police_station,status,arrested,repeat_offender,population_density,unemployment_rate,risk_zone,risk_score
CR-001335,2023-06-28,Chikkaballapur,Theft,13.452069,77.857836,Chikkaballapur Zone 5,SUS-00295,VIC-01082,Chikkaballapur Central PS,Closed,0,0,345.56,5.56,Low Risk,0.3774
CR-001336,2023-05-26,Mangaluru,Kidnapping,12.886498,74.960367,Mangaluru Zone 2,SUS-00391,VIC-00335,Mangaluru Special Task Force,Closed,0,0,1222.04,5.81,Low Risk,0.3225
CR-001337,2023-02-23,Hubballi,Drug Offense,15.411168,75.167991,Hubballi Zone 2,SUS-00047,VIC-00859,Hubballi North PS,Arrested,1,0,690.71,5.63,Medium Risk,0.4207
CR-001338,2024-12-01,Bengaluru Urban,Theft,12.972674,77.552299,Bengaluru Urban Zone 5,SUS-00221,VIC-01046,Bengaluru Urban North PS,Closed,0,0,4694.28,4.13,Medium Risk,0.4708
CR-001339,2025-04-25,Tumakuru,Theft,13.375883,77.145569,Tumakuru Zone 3,SUS-00300,VIC-00337,Tumakuru North PS,Arrested,1,1,340.61,5.11,Medium Risk,0.6293
CR-001340,2024-08-04,Davangere,Assault,14.47719,75.905482,Davangere Zone 2,SUS-00761,VIC-00622,Davangere Traffic PS,Closed,0,0,410.31,5.67,Low Risk,0.3612
CR-001341,2024-07-20,Bengaluru Rural,Robbery,13.42878,77.668965,Bengaluru Rural Zone 1,SUS-00430,VIC-00064,Bengaluru Rural Special Task Force,Closed,0,0,570.54,4.94,Low Risk,0.3168
CR-001342,2023-06-26,Vijayapura,Assault,16.865752,75.702853,Vijayapura Zone 2,SUS-00085,VIC-00585,Vijayapura South PS,Arrested,1,0,365.03,5.97,Low Risk,0.2707
CR-001343,2025-02-07,Mandya,Murder,12.520931,76.981466,Mandya Zone 4,SUS-00786,VIC-00664,Mandya Special Task Force,Closed,0,0,447.76,4.6,Low Risk,0.3152
CR-001344,2023-02-11,Chikkaballapur,Kidnapping,13.603922,77.791369,Chikkaballapur Zone 2,SUS-00771,VIC-01026,Chikkaballapur South PS,Active,0,0,329.62,5.72,Low Risk,0.292
CR-001345,2024-10-24,Uttara Kannada,Theft,14.699605,74.680757,Uttara Kannada Zone 2,SUS-00367,VIC-00887,Uttara Kannada Central PS,Active,0,0,176.35,5.57,Low Risk,0.214
CR-001346,2023-07-22,Raichur,Theft,16.225209,77.429184,Raichur Zone 3,SUS-00047,VIC-00319,Raichur Central PS,Arrested,1,0,301.92,6.25,Low Risk,0.3072
CR-001347,2023-10-22,Belagavi,Cybercrime,15.924319,74.624595,Belagavi Zone 1,SUS-00624,VIC-00667,Belagavi Special Task Force,Closed,0,0,646.7,6.03,Low Risk,0.2557
CR-001348,2024-11-20,Chamarajanagar,Cybercrime,11.956706,76.824874,Chamarajanagar Zone 2,SUS-00790,VIC-01111,Chamarajanagar Cyber Crime Cell,Arrested,1,0,225.62,5.64,Low Risk,0.3334
CR-001349,2024-04-30,Kalaburagi,Theft,17.237905,76.697074,Kalaburagi Zone 2,SUS-00242,VIC-00179,Kalaburagi North PS,Active,0,0,398.69,6.25,Low Risk,0.2347
CR-001350,2023-10-15,Bengaluru Urban,Drug Offense,12.984518,77.60852,Bengaluru Urban Zone 3,SUS-00126,VIC-00826,Bengaluru Urban North PS,Active,0,0,4148.01,4.11,Medium Risk,0.4681
CR-001351,2023-06-17,Mangaluru,Theft,12.987062,74.899241,Mangaluru Zone 2,SUS-00783,VIC-00367,Mangaluru Cyber Crime Cell,Arrested,1,0,1068.58,5.03,Low Risk,0.2406
CR-001352,2023-04-19,Mysuru,Fraud,12.326302,76.581811,Mysuru Zone 5,SUS-00634,VIC-00721,Mysuru East PS,Active,0,0,880.56,5.23,Low Risk,0.2538
CR-001353,2024-07-26,Vijayanagara,Cybercrime,15.305859,76.433248,Vijayanagara Zone 1,SUS-00152,VIC-00285,Vijayanagara North PS,Closed,0,0,287.0,6.44,Low Risk,0.2382
CR-001354,2025-01-18,Haveri,Drug Offense,14.653373,75.267124,Haveri Zone 2,SUS-00080,VIC-00506,Haveri East PS,Closed,0,0,283.82,5.06,Low Risk,0.3581
CR-001355,2025-01-05,Vijayapura,Drug Offense,16.907407,75.689822,Vijayapura Zone 4,SUS-00307,VIC-00718,Vijayapura Cyber Crime Cell,Closed,0,1,307.63,6.64,Medium Risk,0.605
CR-001356,2024-05-02,Mandya,Drug Offense,12.521576,76.790137,Mandya Zone 3,SUS-00680,VIC-00629,Mandya Cyber Crime Cell,Closed,0,0,383.24,4.76,Low Risk,0.2897
CR-001357,2023-09-11,Ramanagara,Theft,12.546362,77.317586,Ramanagara Zone 2,SUS-00426,VIC-00624,Ramanagara Special Task Force,Closed,0,0,391.11,4.69,Low Risk,0.2568
CR-001358,2024-08-01,Shivamogga,Assault,14.049577,75.601211,Shivamogga Zone 5,SUS-00235,VIC-00475,Shivamogga East PS,Arrested,1,0,327.48,5.22,Low Risk,0.2554
CR-001359,2025-02-11,Kolar,Fraud,13.309214,78.069076,Kolar Zone 2,SUS-00591,VIC-01183,Kolar Cyber Crime Cell,Closed,0,1,518.33,5.03,Medium Risk,0.5607
CR-001360,2025-01-10,Gadag,Theft,15.549281,75.714111,Gadag Zone 4,SUS-00212,VIC-01034,Gadag Women PS,Closed,0,0,230.21,5.49,Low Risk,0.3125
CR-001361,2023-08-08,Shivamogga,Robbery,13.940096,75.532823,Shivamogga Zone 4,SUS-00231,VIC-00926,Shivamogga East PS,Closed,0,0,328.95,5.05,Low Risk,0.3008
CR-001362,2024-06-07,Mangaluru,Fraud,12.898384,74.90287,Mangaluru Zone 4,SUS-00555,VIC-00844,Mangaluru Special Task Force,Active,0,0,1055.57,5.42,Medium Risk,0.4321
CR-001363,2024-03-31,Haveri,Robbery,14.823746,75.396938,Haveri Zone 1,SUS-00639,VIC-01093,Haveri Women PS,Arrested,1,0,297.4,5.33,Low Risk,0.3478
CR-001364,2023-03-26,Hassan,Domestic Violence,12.979387,76.178039,Hassan Zone 5,SUS-00096,VIC-00051,Hassan Special Task Force,Active,0,0,303.8,4.91,Low Risk,0.1756
CR-001365,2024-10-12,Vijayapura,Domestic Violence,16.783628,75.672397,Vijayapura Zone 5,SUS-00282,VIC-00718,Vijayapura Central PS,Active,0,0,307.71,6.11,Low Risk,0.3131
CR-001366,2024-10-19,Gadag,Robbery,15.556282,75.613762,Gadag Zone 3,SUS-00406,VIC-00585,Gadag Women PS,Closed,0,0,228.11,6.34,Low Risk,0.2625
CR-001367,2023-06-13,Shivamogga,Assault,13.888674,75.594412,Shivamogga Zone 1,SUS-00419,VIC-00998,Shivamogga North PS,Closed,0,0,321.29,5.41,Low Risk,0.3628
CR-001368,2023-05-19,Vijayapura,Cybercrime,16.911648,75.721583,Vijayapura Zone 4,SUS-00148,VIC-01076,Vijayapura East PS,Arrested,1,0,359.37,5.93,Low Risk,0.2943
CR-001369,2023-06-01,Chitradurga,Assault,14.205749,76.360864,Chitradurga Zone 4,SUS-00468,VIC-00423,Chitradurga Cyber Crime Cell,Closed,0,0,246.32,6.03,Low Risk,0.2438
CR-001370,2025-05-24,Udupi,Fraud,13.321938,74.696233,Udupi Zone 4,SUS-00455,VIC-00575,Udupi South PS,Arrested,1,1,403.26,4.99,Medium Risk,0.6112
CR-001371,2023-12-09,Belagavi,Drug Offense,15.996571,74.511514,Belagavi Zone 3,SUS-00375,VIC-00611,Belagavi Special Task Force,Closed,0,0,661.52,5.7,Low Risk,0.3603
CR-001372,2023-12-30,Bengaluru Rural,Burglary,13.152541,77.624012,Bengaluru Rural Zone 2,SUS-00710,VIC-00123,Bengaluru Rural Special Task Force,Arrested,1,0,498.94,5.28,Low Risk,0.201
CR-001373,2023-02-28,Vijayanagara,Robbery,15.425793,76.397704,Vijayanagara Zone 4,SUS-00604,VIC-01196,Vijayanagara Traffic PS,Closed,0,0,352.13,6.62,Low Risk,0.3318
CR-001374,2023-12-17,Chikkamagaluru,Fraud,13.351298,75.870797,Chikkamagaluru Zone 5,SUS-00765,VIC-00573,Chikkamagaluru Cyber Crime Cell,Closed,0,0,225.8,5.24,Low Risk,0.2896
CR-001375,2025-01-21,Bagalkot,Cybercrime,16.245475,75.786758,Bagalkot Zone 3,SUS-00386,VIC-00249,Bagalkot Central PS,Arrested,1,0,335.37,6.32,Low Risk,0.2885
CR-001376,2024-12-13,Bengaluru Rural,Drug Offense,13.185596,77.538038,Bengaluru Rural Zone 3,SUS-00632,VIC-01001,Bengaluru Rural Rural PS,Arrested,1,0,511.56,5.51,Low Risk,0.364
CR-001377,2023-07-20,Vijayanagara,Robbery,15.316461,76.458404,Vijayanagara Zone 2,SUS-00654,VIC-00581,Vijayanagara Women PS,Arrested,1,0,278.1,6.84,Low Risk,0.2734
CR-001378,2024-01-08,Koppal,Burglary,15.433877,76.066673,Koppal Zone 2,SUS-00604,VIC-00518,Koppal Rural PS,Active,0,0,250.75,7.13,Low Risk,0.2985
CR-001379,2023-08-19,Belagavi,Domestic Violence,15.938757,74.376649,Belagavi Zone 2,SUS-00127,VIC-00842,Belagavi South PS,Arrested,1,0,729.72,6.02,Low Risk,0.2902
CR-001380,2023-02-21,Vijayanagara,Cybercrime,15.185392,76.447841,Vijayanagara Zone 5,SUS-00382,VIC-00458,Vijayanagara Traffic PS,Closed,0,0,330.98,5.67,Low Risk,0.3108
CR-001381,2024-02-06,Ballari,Assault,14.985418,77.051519,Ballari Zone 2,SUS-00623,VIC-00048,Ballari Rural PS,Active,0,0,388.82,6.77,Low Risk,0.3731
CR-001382,2025-05-13,Yadgir,Domestic Violence,16.713042,77.148017,Yadgir Zone 4,SUS-00522,VIC-00956,Yadgir Cyber Crime Cell,Arrested,1,0,268.39,6.93,Low Risk,0.3918
CR-001383,2023-09-15,Raichur,Cybercrime,16.303498,77.424523,Raichur Zone 2,SUS-00497,VIC-00670,Raichur Special Task Force,Closed,0,1,296.93,6.46,Medium Risk,0.614
CR-001384,2024-10-05,Davangere,Fraud,14.327437,75.919875,Davangere Zone 4,SUS-00733,VIC-00700,Davangere Women PS,Closed,0,0,348.23,5.92,Low Risk,0.2559
CR-001385,2023-09-26,Haveri,Burglary,14.963471,75.34026,Haveri Zone 5,SUS-00628,VIC-00978,Haveri East PS,Arrested,1,0,274.2,5.97,Low Risk,0.3494
CR-001386,2025-04-06,Shivamogga,Kidnapping,13.890411,75.601666,Shivamogga Zone 1,SUS-00587,VIC-00477,Shivamogga North PS,Arrested,1,1,319.96,5.76,Medium Risk,0.6416
CR-001387,2023-11-28,Bengaluru Rural,Fraud,13.143626,77.724058,Bengaluru Rural Zone 3,SUS-00283,VIC-00525,Bengaluru Rural South PS,Closed,0,0,465.87,4.8,Low Risk,0.3318
CR-001388,2024-10-29,Kolar,Burglary,13.152514,78.029076,Kolar Zone 4,SUS-00371,VIC-00554,Kolar Central PS,Closed,0,0,500.92,5.61,Low Risk,0.3078
CR-001389,2023-11-10,Raichur,Assault,16.171344,77.445557,Raichur Zone 5,SUS-00424,VIC-00849,Raichur West PS,Closed,0,0,279.99,6.27,Low Risk,0.2825
CR-001390,2023-03-16,Tumakuru,Theft,13.437841,77.213457,Tumakuru Zone 3,SUS-00047,VIC-00038,Tumakuru Women PS,Closed,0,0,309.5,5.28,Low Risk,0.3722
CR-001391,2023-08-18,Davangere,Drug Offense,14.518625,75.900363,Davangere Zone 3,SUS-00034,VIC-01036,Davangere North PS,Arrested,1,0,315.98,5.41,Low Risk,0.3712
CR-001392,2023-07-16,Hassan,Drug Offense,13.021124,76.249554,Hassan Zone 1,SUS-00411,VIC-00484,Hassan Central PS,Active,0,0,330.79,4.94,Low Risk,0.2756
CR-001393,2023-01-21,Bengaluru Rural,Domestic Violence,13.162196,77.55368,Bengaluru Rural Zone 2,SUS-00433,VIC-00770,Bengaluru Rural West PS,Closed,0,0,516.27,4.88,Low Risk,0.2668
CR-001394,2024-05-30,Uttara Kannada,Assault,14.818477,74.729454,Uttara Kannada Zone 2,SUS-00034,VIC-00867,Uttara Kannada Women PS,Closed,0,0,210.81,5.68,Low Risk,0.3609
CR-001395,2025-05-09,Dharwad,Robbery,15.458309,75.048139,Dharwad Zone 3,SUS-00378,VIC-00683,Dharwad Rural PS,Arrested,1,0,410.77,5.14,Low Risk,0.3169
CR-001396,2025-03-16,Yadgir,Assault,16.746883,77.185617,Yadgir Zone 5,SUS-00219,VIC-00485,Yadgir Traffic PS,Active,0,0,223.65,6.92,Medium Risk,0.4132
CR-001397,2025-01-21,Chikkaballapur,Drug Offense,13.589495,77.681272,Chikkaballapur Zone 5,SUS-00546,VIC-00123,Chikkaballapur Women PS,Arrested,1,0,349.82,5.43,Low Risk,0.3626
CR-001398,2024-10-27,Davangere,Fraud,14.399591,75.90469,Davangere Zone 5,SUS-00483,VIC-00273,Davangere South PS,Closed,0,0,396.46,5.43,Low Risk,0.3194
CR-001399,2024-12-21,Udupi,Fraud,13.463916,74.75692,Udupi Zone 1,SUS-00581,VIC-01106,Udupi Cyber Crime Cell,Closed,0,0,448.28,4.91,Low Risk,0.2976
CR-001400,2024-01-21,Hubballi,Assault,15.274338,75.160614,Hubballi Zone 3,SUS-00161,VIC-00229,Hubballi South PS,Arrested,1,0,831.6,6.04,Medium Risk,0.4243
CR-001401,2024-06-11,Hassan,Burglary,13.032876,76.144297,Hassan Zone 5,SUS-00171,VIC-00910,Hassan North PS,Active,0,0,322.56,5.23,Low Risk,0.3613
CR-001402,2023-07-16,Uttara Kannada,Theft,14.816222,74.656162,Uttara Kannada Zone 3,SUS-00765,VIC-01054,Uttara Kannada North PS,Closed,0,0,166.44,4.96,Low Risk,0.2309
CR-001403,2023-01-12,Chikkamagaluru,Drug Offense,13.366564,75.885327,Chikkamagaluru Zone 4,SUS-00785,VIC-00018,Chikkamagaluru Traffic PS,Arrested,1,0,243.23,5.34,Low Risk,0.2679
CR-001404,2023-11-14,Tumakuru,Drug Offense,13.407505,77.19182,Tumakuru Zone 3,SUS-00154,VIC-01134,Tumakuru Women PS,Closed,0,0,337.5,4.89,Low Risk,0.2147
CR-001405,2023-01-09,Kolar,Robbery,13.069965,78.153304,Kolar Zone 4,SUS-00765,VIC-00701,Kolar Central PS,Closed,0,0,515.07,5.12,Low Risk,0.26
CR-001406,2024-02-01,Raichur,Theft,16.360026,77.354769,Raichur Zone 4,SUS-00033,VIC-00497,Raichur Traffic PS,Closed,0,1,314.27,7.41,Medium Risk,0.5031
CR-001407,2024-06-23,Koppal,Fraud,15.414167,76.106468,Koppal Zone 2,SUS-00224,VIC-00758,Koppal South PS,Arrested,1,1,243.27,6.86,Medium Risk,0.6471
CR-001408,2024-12-07,Chitradurga,Burglary,14.213568,76.303256,Chitradurga Zone 5,SUS-00755,VIC-00764,Chitradurga Women PS,Active,0,0,252.47,6.05,Low Risk,0.3436
CR-001409,2023-06-08,Vijayapura,Cybercrime,16.946303,75.699952,Vijayapura Zone 2,SUS-00153,VIC-00447,Vijayapura West PS,Closed,0,0,287.05,6.17,Low Risk,0.232
CR-001410,2024-06-11,Ramanagara,Cybercrime,12.735849,77.27355,Ramanagara Zone 4,SUS-00312,VIC-00789,Ramanagara East PS,Arrested,1,0,383.78,4.59,Low Risk,0.2814
CR-001411,2025-04-01,Mandya,Assault,12.484662,76.880877,Mandya Zone 4,SUS-00297,VIC-00214,Mandya South PS,Active,0,1,447.06,5.02,Medium Risk,0.511
CR-001412,2025-04-22,Yadgir,Cybercrime,16.714013,76.935127,Yadgir Zone 5,SUS-00737,VIC-00828,Yadgir Traffic PS,Closed,0,0,255.84,7.17,Low Risk,0.3471
CR-001413,2024-02-10,Koppal,Assault,15.340311,76.008241,Koppal Zone 1,SUS-00776,VIC-00743,Koppal Rural PS,Active,0,0,207.84,7.32,Low Risk,0.2817
CR-001414,2023-02-26,Mysuru,Theft,12.21292,76.603228,Mysuru Zone 4,SUS-00675,VIC-00363,Mysuru Cyber Crime Cell,Closed,0,0,977.91,4.65,Low Risk,0.296
CR-001415,2023-10-29,Vijayapura,Cybercrime,16.821195,75.717852,Vijayapura Zone 1,SUS-00342,VIC-00902,Vijayapura Cyber Crime Cell,Active,0,0,357.08,6.68,Medium Risk,0.4051
CR-001416,2025-04-02,Kodagu,Theft,12.459694,75.704562,Kodagu Zone 5,SUS-00067,VIC-00181,Kodagu South PS,Active,0,0,205.06,3.98,Low Risk,0.2289
CR-001417,2023-08-17,Vijayanagara,Fraud,15.297233,76.46014,Vijayanagara Zone 5,SUS-00348,VIC-00411,Vijayanagara Rural PS,Closed,0,0,348.84,6.85,Medium Risk,0.4183
CR-001418,2023-05-29,Chamarajanagar,Theft,11.835901,76.958518,Chamarajanagar Zone 5,SUS-00172,VIC-00508,Chamarajanagar Traffic PS,Closed,0,1,206.94,5.95,Medium Risk,0.5478
CR-001419,2023-02-12,Haveri,Theft,14.777296,75.343338,Haveri Zone 4,SUS-00777,VIC-00506,Haveri Women PS,Closed,0,0,262.5,5.41,Low Risk,0.1971
CR-001420,2024-10-12,Vijayapura,Burglary,16.671045,75.739394,Vijayapura Zone 4,SUS-00538,VIC-00337,Vijayapura Rural PS,Active,0,0,284.7,5.73,Low Risk,0.3408
CR-001421,2025-03-30,Ramanagara,Drug Offense,12.715317,77.340262,Ramanagara Zone 1,SUS-00180,VIC-00002,Ramanagara Central PS,Closed,0,0,415.89,4.88,Low Risk,0.3196
CR-001422,2023-03-16,Mysuru,Drug Offense,12.159307,76.457772,Mysuru Zone 4,SUS-00792,VIC-00680,Mysuru Women PS,Arrested,1,1,954.37,4.72,Medium Risk,0.5027
CR-001423,2023-07-09,Raichur,Burglary,16.039201,77.218487,Raichur Zone 4,SUS-00792,VIC-00828,Raichur West PS,Closed,0,1,248.49,6.66,Medium Risk,0.6147
CR-001424,2023-02-09,Chikkaballapur,Domestic Violence,13.446142,77.69817,Chikkaballapur Zone 5,SUS-00324,VIC-00774,Chikkaballapur North PS,Active,0,0,370.82,5.16,Low Risk,0.3277
CR-001425,2024-06-25,Mangaluru,Theft,12.774625,74.960543,Mangaluru Zone 1,SUS-00176,VIC-01094,Mangaluru West PS,Arrested,1,0,1182.21,5.43,Low Risk,0.3946
CR-001426,2024-10-22,Mysuru,Fraud,12.40975,76.671255,Mysuru Zone 4,SUS-00322,VIC-00733,Mysuru Special Task Force,Closed,0,0,827.78,4.87,Low Risk,0.2806
CR-001427,2024-11-07,Chikkamagaluru,Assault,13.272094,75.764357,Chikkamagaluru Zone 5,SUS-00038,VIC-00024,Chikkamagaluru Cyber Crime Cell,Closed,0,0,200.21,4.7,Low Risk,0.3476
CR-001428,2023-12-22,Hubballi,Theft,15.31109,75.167498,Hubballi Zone 4,SUS-00113,VIC-00810,Hubballi South PS,Arrested,1,0,859.32,5.09,Low Risk,0.3104
CR-001429,2024-03-17,Koppal,Assault,15.275382,76.209119,Koppal Zone 1,SUS-00187,VIC-00847,Koppal West PS,Arrested,1,1,251.79,6.45,Medium Risk,0.4869
CR-001430,2023-09-03,Ramanagara,Burglary,12.736729,77.136425,Ramanagara Zone 3,SUS-00697,VIC-01114,Ramanagara Central PS,Active,0,1,369.26,4.97,Medium Risk,0.6121
CR-001431,2024-07-02,Udupi,Burglary,13.323526,74.7335,Udupi Zone 1,SUS-00137,VIC-01162,Udupi North PS,Arrested,1,0,391.56,4.72,Low Risk,0.3583
CR-001432,2024-05-02,Chikkamagaluru,Robbery,13.389474,75.745083,Chikkamagaluru Zone 3,SUS-00793,VIC-00233,Chikkamagaluru Cyber Crime Cell,Closed,0,0,192.87,5.02,Low Risk,0.2325
CR-001433,2024-07-07,Chikkaballapur,Burglary,13.39657,77.720867,Chikkaballapur Zone 4,SUS-00426,VIC-00700,Chikkaballapur South PS,Active,0,0,320.38,4.93,Low Risk,0.2178
CR-001434,2024-06-25,Shivamogga,Burglary,13.99498,75.518054,Shivamogga Zone 5,SUS-00099,VIC-00721,Shivamogga Traffic PS,Arrested,1,0,386.23,5.7,Low Risk,0.3622
CR-001435,2024-05-03,Ramanagara,Theft,12.728561,77.313409,Ramanagara Zone 1,SUS-00797,VIC-00508,Ramanagara Traffic PS,Active,0,0,350.43,4.52,Low Risk,0.2235
CR-001436,2024-08-17,Yadgir,Robbery,16.797713,77.032851,Yadgir Zone 4,SUS-00552,VIC-01198,Yadgir Central PS,Arrested,1,1,214.53,6.72,Medium Risk,0.5778
CR-001437,2024-04-10,Chikkaballapur,Drug Offense,13.409414,77.721637,Chikkaballapur Zone 5,SUS-00069,VIC-00290,Chikkaballapur North PS,Closed,0,0,325.77,5.81,Low Risk,0.3993
CR-001438,2023-07-17,Ballari,Cybercrime,15.108219,77.024631,Ballari Zone 2,SUS-00113,VIC-00565,Ballari West PS,Closed,0,0,334.82,6.21,Low Risk,0.3719
CR-001439,2023-09-28,Chikkamagaluru,Drug Offense,13.244326,75.745681,Chikkamagaluru Zone 4,SUS-00374,VIC-00929,Chikkamagaluru South PS,Arrested,1,0,229.53,4.85,Low Risk,0.3522
CR-001440,2024-07-31,Chamarajanagar,Theft,11.843391,76.977877,Chamarajanagar Zone 2,SUS-00064,VIC-00672,Chamarajanagar North PS,Arrested,1,0,201.37,5.77,Low Risk,0.3379
CR-001441,2025-01-18,Chamarajanagar,Domestic Violence,12.035243,76.906224,Chamarajanagar Zone 4,SUS-00595,VIC-00411,Chamarajanagar Special Task Force,Closed,0,1,214.17,6.02,Medium Risk,0.4548
CR-001442,2023-02-09,Shivamogga,Domestic Violence,13.828961,75.451403,Shivamogga Zone 1,SUS-00294,VIC-01179,Shivamogga East PS,Closed,0,0,330.49,5.02,Low Risk,0.3009
CR-001443,2023-06-14,Bagalkot,Kidnapping,16.180043,75.683791,Bagalkot Zone 5,SUS-00094,VIC-01006,Bagalkot Women PS,Active,0,0,319.13,5.96,Low Risk,0.25
CR-001444,2024-07-23,Yadgir,Theft,16.933932,77.124939,Yadgir Zone 3,SUS-00436,VIC-00783,Yadgir West PS,Arrested,1,0,226.84,7.53,Low Risk,0.379
CR-001445,2025-03-24,Gadag,Theft,15.38929,75.494193,Gadag Zone 5,SUS-00176,VIC-00524,Gadag Rural PS,Active,0,0,279.5,6.08,Low Risk,0.3282
CR-001446,2023-04-09,Kolar,Theft,13.261855,78.200274,Kolar Zone 4,SUS-00034,VIC-00949,Kolar North PS,Closed,0,0,448.81,5.13,Low Risk,0.3195
CR-001447,2024-03-01,Udupi,Theft,13.330792,74.848579,Udupi Zone 2,SUS-00517,VIC-00648,Udupi East PS,Active,0,0,397.84,4.34,Low Risk,0.2541
CR-001448,2023-03-19,Dharwad,Burglary,15.401848,74.951696,Dharwad Zone 3,SUS-00249,VIC-01123,Dharwad West PS,Arrested,1,0,364.2,5.65,Low Risk,0.3737
CR-001449,2025-03-22,Gadag,Cybercrime,15.267868,75.577675,Gadag Zone 4,SUS-00301,VIC-00872,Gadag East PS,Active,0,1,269.92,6.34,Medium Risk,0.6494
CR-001450,2024-09-10,Kalaburagi,Drug Offense,17.293809,76.956803,Kalaburagi Zone 3,SUS-00239,VIC-00707,Kalaburagi Central PS,Closed,0,0,415.19,6.25,Medium Risk,0.4174
CR-001451,2023-01-24,Bengaluru Urban,Theft,12.886086,77.686647,Bengaluru Urban Zone 2,SUS-00492,VIC-01101,Bengaluru Urban Traffic PS,Closed,0,0,4419.85,4.36,Medium Risk,0.4668
CR-001452,2023-02-10,Belagavi,Robbery,15.81337,74.3847,Belagavi Zone 2,SUS-00584,VIC-00868,Belagavi Rural PS,Active,0,0,559.14,5.7,Low Risk,0.3911
CR-001453,2024-10-16,Kolar,Theft,13.172943,78.304135,Kolar Zone 5,SUS-00600,VIC-00165,Kolar Traffic PS,Active,0,0,533.36,5.39,Low Risk,0.3531
CR-001454,2023-08-30,Gadag,Murder,15.265918,75.61968,Gadag Zone 5,SUS-00217,VIC-00928,Gadag East PS,Closed,0,0,238.64,6.24,Low Risk,0.3342
CR-001455,2024-12-22,Chitradurga,Burglary,14.272721,76.312748,Chitradurga Zone 4,SUS-00664,VIC-00438,Chitradurga Women PS,Closed,0,0,295.67,6.26,Low Risk,0.2535
CR-001456,2024-12-08,Ramanagara,Burglary,12.709688,77.269187,Ramanagara Zone 1,SUS-00410,VIC-00673,Ramanagara East PS,Closed,0,0,343.95,4.92,Low Risk,0.2523
CR-001457,2024-12-09,Kalaburagi,Theft,17.340196,76.753841,Kalaburagi Zone 1,SUS-00725,VIC-00360,Kalaburagi Traffic PS,Closed,0,0,397.27,5.92,Low Risk,0.3533
CR-001458,2024-11-06,Yadgir,Theft,16.766577,77.085546,Yadgir Zone 1,SUS-00201,VIC-00499,Yadgir West PS,Active,0,0,248.8,7.11,Medium Risk,0.4017
CR-001459,2024-03-15,Koppal,Domestic Violence,15.287368,76.139157,Koppal Zone 4,SUS-00045,VIC-00780,Koppal Traffic PS,Closed,0,0,249.29,7.22,Medium Risk,0.411
CR-001460,2024-12-25,Dharwad,Theft,15.292873,75.115239,Dharwad Zone 2,SUS-00136,VIC-00879,Dharwad Rural PS,Closed,0,0,431.75,5.26,Low Risk,0.2071
CR-001461,2024-05-23,Chitradurga,Theft,14.235883,76.344088,Chitradurga Zone 3,SUS-00637,VIC-00542,Chitradurga Cyber Crime Cell,Active,0,1,241.85,6.23,Medium Risk,0.4632
CR-001462,2024-04-04,Bagalkot,Burglary,16.03954,75.71672,Bagalkot Zone 2,SUS-00211,VIC-00919,Bagalkot Rural PS,Closed,0,0,307.53,5.86,Low Risk,0.3853
CR-001463,2024-01-24,Koppal,Theft,15.333296,76.17764,Koppal Zone 3,SUS-00301,VIC-00477,Koppal Central PS,Arrested,1,1,234.5,7.2,Medium Risk,0.5372
CR-001464,2024-04-09,Kolar,Assault,13.076499,78.056669,Kolar Zone 1,SUS-00797,VIC-00202,Kolar Traffic PS,Active,0,0,457.98,5.22,Low Risk,0.3169
CR-001465,2023-08-06,Kalaburagi,Cybercrime,17.355211,76.668423,Kalaburagi Zone 4,SUS-00747,VIC-00735,Kalaburagi Traffic PS,Arrested,1,0,450.73,6.43,Low Risk,0.2862
CR-001466,2023-08-02,Mandya,Theft,12.543234,76.764069,Mandya Zone 4,SUS-00623,VIC-00153,Mandya Cyber Crime Cell,Active,0,0,412.01,4.9,Low Risk,0.2111
CR-001467,2024-04-23,Vijayapura,Theft,16.783781,75.661146,Vijayapura Zone 1,SUS-00413,VIC-00839,Vijayapura South PS,Closed,0,0,361.8,6.55,Low Risk,0.3441
CR-001468,2023-03-29,Chamarajanagar,Cybercrime,11.913202,76.950798,Chamarajanagar Zone 3,SUS-00150,VIC-00828,Chamarajanagar Central PS,Arrested,1,0,215.88,5.04,Low Risk,0.1933
CR-001469,2025-01-20,Kodagu,Domestic Violence,12.530884,75.924184,Kodagu Zone 2,SUS-00391,VIC-01050,Kodagu South PS,Closed,0,0,172.31,4.02,Low Risk,0.3062
CR-001470,2023-02-05,Bengaluru Rural,Theft,13.171214,77.616004,Bengaluru Rural Zone 4,SUS-00704,VIC-00773,Bengaluru Rural Traffic PS,Closed,0,0,504.82,4.68,Low Risk,0.2547
CR-001471,2024-01-06,Chikkamagaluru,Theft,13.343481,75.780022,Chikkamagaluru Zone 5,SUS-00009,VIC-00268,Chikkamagaluru Women PS,Active,0,0,213.87,5.01,Low Risk,0.2514
CR-001472,2024-12-22,Chikkaballapur,Assault,13.335773,77.587503,Chikkaballapur Zone 1,SUS-00330,VIC-00807,Chikkaballapur West PS,Active,0,0,378.4,5.18,Low Risk,0.2347
CR-001473,2024-02-08,Dharwad,Domestic Violence,15.490466,75.041601,Dharwad Zone 3,SUS-00427,VIC-00033,Dharwad Central PS,Arrested,1,0,373.03,5.86,Low Risk,0.2271
